yearID,teamID,name,BPF,PPF
2015,ARI,Arizona Diamondbacks,107.0,106.0
2015,ATL,Atlanta Braves,97.0,97.0
2015,BAL,Baltimore Orioles,103.0,104.0
2015,BOS,Boston Red Sox,104.0,107.0
2015,CHA,Chicago White Sox,92.0,93.0
2015,CHN,Chicago Cubs,100.0,100.0
2015,CIN,Cincinnati Reds,101.0,101.0
2015,CLE,Cleveland Indians,106.0,106.0
2015,COL,Colorado Rockies,119.0,118.0
2015,DET,Detroit Tigers,97.0,98.0
2015,HOU,Houston Astros,97.0,99.0
2015,KCA,Kansas City Royals,104.0,103.0
2015,LAA,Los Angeles Angels of Anaheim,94.0,95.0
2015,LAN,Los Angeles Dodgers,101.0,98.0
2015,MIA,Miami Marlins,98.0,97.0
2015,MIL,Milwaukee Brewers,101.0,101.0
2015,MIN,Minnesota Twins,103.0,104.0
2015,NYA,New York Yankees,99.0,101.0
2015,NYN,New York Mets,94.0,92.0
2015,OAK,Oakland Athletics,97.0,98.0
2015,PHI,Philadelphia Phillies,98.0,98.0
2015,PIT,Pittsburgh Pirates,99.0,97.0
2015,SDN,San Diego Padres,98.0,97.0
2015,SEA,Seattle Mariners,92.0,94.0
2015,SFN,San Francisco Giants,99.0,97.0
2015,SLN,St. Louis Cardinals,102.0,101.0
2015,TBA,Tampa Bay Rays,100.0,102.0
2015,TEX,Texas Rangers,102.0,105.0
2015,TOR,Toronto Blue Jays,99.0,98.0
2015,WAS,Washington Nationals,102.0,99.0
2016,ARI,Arizona Diamondbacks,107.0,108.0
2016,ATL,Atlanta Braves,102.0,104.0
2016,BAL,Baltimore Orioles,101.0,101.0
2016,BOS,Boston Red Sox,108.0,106.0
2016,CHA,Chicago White Sox,96.0,97.0
2016,CHN,Chicago Cubs,95.0,93.0
2016,CIN,Cincinnati Reds,99.0,100.0
2016,CLE,Cleveland Indians,110.0,109.0
2016,COL,Colorado Rockies,117.0,117.0
2016,DET,Detroit Tigers,101.0,101.0
2016,HOU,Houston Astros,90.0,89.0
2016,KCA,Kansas City Royals,105.0,106.0
2016,LAA,Los Angeles Angels of Anaheim,95.0,95.0
2016,LAN,Los Angeles Dodgers,93.0,92.0
2016,MIA,Miami Marlins,93.0,93.0
2016,MIL,Milwaukee Brewers,99.0,99.0
2016,MIN,Minnesota Twins,96.0,98.0
2016,NYA,New York Yankees,105.0,105.0
2016,NYN,New York Mets,102.0,102.0
2016,OAK,Oakland Athletics,90.0,91.0
2016,PHI,Philadelphia Phillies,91.0,93.0
2016,PIT,Pittsburgh Pirates,100.0,101.0
2016,SDN,San Diego Padres,99.0,99.0
2016,SEA,Seattle Mariners,98.0,97.0
2016,SFN,San Francisco Giants,103.0,102.0
2016,SLN,St. Louis Cardinals,100.0,99.0
2016,TBA,Tampa Bay Rays,93.0,94.0
2016,TEX,Texas Rangers,106.0,105.0
2016,TOR,Toronto Blue Jays,111.0,110.0
2016,WAS,Washington Nationals,100.0,98.0
2017,ARI,Arizona Diamondbacks,110.0,110.0
2017,ATL,Atlanta Braves,98.0,98.0
2017,BAL,Baltimore Orioles,98.0,99.0
2017,BOS,Boston Red Sox,105.0,104.0
2017,CHA,Chicago White Sox,98.0,98.0
2017,CHN,Chicago Cubs,102.0,100.0
2017,CIN,Cincinnati Reds,100.0,101.0
2017,CLE,Cleveland Indians,106.0,104.0
2017,COL,Colorado Rockies,115.0,115.0
2017,DET,Detroit Tigers,103.0,104.0
2017,HOU,Houston Astros,91.0,90.0
2017,KCA,Kansas City Royals,102.0,102.0
2017,LAA,Los Angeles Angels of Anaheim,96.0,96.0
2017,LAN,Los Angeles Dodgers,97.0,96.0
2017,MIA,Miami Marlins,93.0,93.0
2017,MIL,Milwaukee Brewers,101.0,101.0
2017,MIN,Minnesota Twins,99.0,100.0
2017,NYA,New York Yankees,104.0,103.0
2017,NYN,New York Mets,97.0,97.0
2017,OAK,Oakland Athletics,96.0,97.0
2017,PHI,Philadelphia Phillies,96.0,97.0
2017,PIT,Pittsburgh Pirates,99.0,99.0
2017,SDN,San Diego Padres,94.0,95.0
2017,SEA,Seattle Mariners,97.0,97.0
2017,SFN,San Francisco Giants,96.0,96.0
2017,SLN,St. Louis Cardinals,98.0,98.0
2017,TBA,Tampa Bay Rays,94.0,94.0
2017,TEX,Texas Rangers,107.0,107.0
2017,TOR,Toronto Blue Jays,105.0,105.0
2017,WAS,Washington Nationals,103.0,102.0
2018,ARI,Arizona Diamondbacks,108.0,107.0
2018,ATL,Atlanta Braves,100.0,100.0
2018,BAL,Baltimore Orioles,96.0,97.0
2018,BOS,Boston Red Sox,104.0,102.0
2018,CHA,Chicago White Sox,97.0,98.0
2018,CHN,Chicago Cubs,107.0,106.0
2018,CIN,Cincinnati Reds,103.0,104.0
2018,CLE,Cleveland Indians,104.0,102.0
2018,COL,Colorado Rockies,117.0,116.0
2018,DET,Detroit Tigers,101.0,102.0
2018,HOU,Houston Astros,96.0,94.0
2018,KCA,Kansas City Royals,99.0,100.0
2018,LAA,Los Angeles Angels of Anaheim,97.0,97.0
2018,LAN,Los Angeles Dodgers,98.0,96.0
2018,MIA,Miami Marlins,89.0,90.0
2018,MIL,Milwaukee Brewers,102.0,101.0
2018,MIN,Minnesota Twins,102.0,102.0
2018,NYA,New York Yankees,104.0,102.0
2018,NYN,New York Mets,90.0,91.0
2018,OAK,Oakland Athletics,98.0,97.0
2018,PHI,Philadelphia Phillies,102.0,103.0
2018,PIT,Pittsburgh Pirates,96.0,96.0
2018,SDN,San Diego Padres,94.0,95.0
2018,SEA,Seattle Mariners,94.0,95.0
2018,SFN,San Francisco Giants,95.0,96.0
2018,SLN,St. Louis Cardinals,97.0,96.0
2018,TBA,Tampa Bay Rays,97.0,97.0
2018,TEX,Texas Rangers,112.0,113.0
2018,TOR,Toronto Blue Jays,97.0,98.0
2018,WAS,Washington Nationals,106.0,105.0
2019,ARI,Arizona Diamondbacks,101.0,101.0
2019,ATL,Atlanta Braves,105.0,103.0
2019,BAL,Baltimore Orioles,99.0,102.0
2019,BOS,Boston Red Sox,105.0,104.0
2019,CHA,Chicago White Sox,97.0,99.0
2019,CHN,Chicago Cubs,102.0,101.0
2019,CIN,Cincinnati Reds,103.0,103.0
2019,CLE,Cleveland Indians,104.0,102.0
2019,COL,Colorado Rockies,118.0,118.0
2019,DET,Detroit Tigers,102.0,104.0
2019,HOU,Houston Astros,103.0,100.0
2019,KCA,Kansas City Royals,101.0,102.0
2019,LAA,Los Angeles Angels of Anaheim,98.0,98.0
2019,LAN,Los Angeles Dodgers,96.0,94.0
2019,MIA,Miami Marlins,94.0,96.0
2019,MIL,Milwaukee Brewers,101.0,101.0
2019,MIN,Minnesota Twins,100.0,99.0
2019,NYA,New York Yankees,98.0,96.0
2019,NYN,New York Mets,92.0,92.0
2019,OAK,Oakland Athletics,95.0,93.0
2019,PHI,Philadelphia Phillies,102.0,102.0
2019,PIT,Pittsburgh Pirates,96.0,97.0
2019,SDN,San Diego Padres,95.0,96.0
2019,SEA,Seattle Mariners,93.0,94.0
2019,SFN,San Francisco Giants,94.0,95.0
2019,SLN,St. Louis Cardinals,98.0,97.0
2019,TBA,Tampa Bay Rays,97.0,96.0
2019,TEX,Texas Rangers,111.0,112.0
2019,TOR,Toronto Blue Jays,97.0,98.0
2019,WAS,Washington Nationals,106.0,104.0
2020,ARI,Arizona Diamondbacks,102.0,102.0
2020,ATL,Atlanta Braves,107.0,106.0
2020,BAL,Baltimore Orioles,100.0,102.0
2020,BOS,Boston Red Sox,105.0,105.0
2020,CHA,Chicago White Sox,99.0,100.0
2020,CHN,Chicago Cubs,100.0,99.0
2020,CIN,Cincinnati Reds,106.0,106.0
2020,CLE,Cleveland Indians,104.0,103.0
2020,COL,Colorado Rockies,116.0,117.0
2020,DET,Detroit Tigers,102.0,105.0
2020,HOU,Houston Astros,103.0,101.0
2020,KCA,Kansas City Royals,102.0,103.0
2020,LAA,Los Angeles Angels of Anaheim,100.0,101.0
2020,LAN,Los Angeles Dodgers,97.0,94.0
2020,MIA,Miami Marlins,97.0,99.0
2020,MIL,Milwaukee Brewers,101.0,101.0
2020,MIN,Minnesota Twins,99.0,98.0
2020,NYA,New York Yankees,98.0,96.0
2020,NYN,New York Mets,94.0,94.0
2020,OAK,Oakland Athletics,94.0,93.0
2020,PHI,Philadelphia Phillies,101.0,101.0
2020,PIT,Pittsburgh Pirates,97.0,99.0
2020,SDN,San Diego Padres,94.0,95.0
2020,SEA,Seattle Mariners,94.0,95.0
2020,SFN,San Francisco Giants,94.0,95.0
2020,SLN,St. Louis Cardinals,97.0,96.0
2020,TBA,Tampa Bay Rays,96.0,95.0
2020,TEX,Texas Rangers,102.0,102.0
2020,TOR,Toronto Blue Jays,100.0,99.0
2020,WAS,Washington Nationals,103.0,102.0
2021,ARI,Arizona Diamondbacks,99.0,101.0
2021,ATL,Atlanta Braves,107.0,105.0
2021,BAL,Baltimore Orioles,103.0,105.0
2021,BOS,Boston Red Sox,109.0,109.0
2021,CHA,Chicago White Sox,101.0,100.0
2021,CHN,Chicago Cubs,100.0,101.0
2021,CIN,Cincinnati Reds,113.0,113.0
2021,CLE,Cleveland Indians,101.0,101.0
2021,COL,Colorado Rockies,112.0,113.0
2021,DET,Detroit Tigers,96.0,98.0
2021,HOU,Houston Astros,101.0,99.0
2021,KCA,Kansas City Royals,105.0,106.0
2021,LAA,Los Angeles Angels of Anaheim,102.0,103.0
2021,LAN,Los Angeles Dodgers,100.0,97.0
2021,MIA,Miami Marlins,98.0,99.0
2021,MIL,Milwaukee Brewers,101.0,101.0
2021,MIN,Minnesota Twins,98.0,98.0
2021,NYA,New York Yankees,100.0,99.0
2021,NYN,New York Mets,95.0,95.0
2021,OAK,Oakland Athletics,95.0,94.0
2021,PHI,Philadelphia Phillies,99.0,99.0
2021,PIT,Pittsburgh Pirates,98.0,100.0
2021,SDN,San Diego Padres,92.0,92.0
2021,SEA,Seattle Mariners,95.0,96.0
2021,SFN,San Francisco Giants,98.0,97.0
2021,SLN,St. Louis Cardinals,92.0,92.0
2021,TBA,Tampa Bay Rays,92.0,91.0
2021,TEX,Texas Rangers,99.0,101.0
2021,TOR,Toronto Blue Jays,102.0,101.0
2021,WAS,Washington Nationals,95.0,96.0
2022,ARI,Arizona Diamondbacks,98.0,99.0
2022,ATL,Atlanta Braves,102.0,100.0
2022,BAL,Baltimore Orioles,102.0,103.0
2022,BOS,Boston Red Sox,108.0,108.0
2022,CHA,Chicago White Sox,103.0,102.0
2022,CHN,Chicago Cubs,100.0,101.0
2022,CIN,Cincinnati Reds,110.0,110.0
2022,CLE,Cleveland Guardians,98.0,98.0
2022,COL,Colorado Rockies,113.0,115.0
2022,DET,Detroit Tigers,96.0,97.0
2022,HOU,Houston Astros,101.0,99.0
2022,KCA,Kansas City Royals,103.0,105.0
2022,LAA,Los Angeles Angels of Anaheim,102.0,103.0
2022,LAN,Los Angeles Dodgers,106.0,103.0
2022,MIA,Miami Marlins,99.0,100.0
2022,MIL,Milwaukee Brewers,98.0,97.0
2022,MIN,Minnesota Twins,98.0,99.0
2022,NYA,New York Yankees,101.0,100.0
2022,NYN,New York Mets,96.0,95.0
2022,OAK,Oakland Athletics,96.0,96.0
2022,PHI,Philadelphia Phillies,100.0,100.0
2022,PIT,Pittsburgh Pirates,100.0,102.0
2022,SDN,San Diego Padres,92.0,92.0
2022,SEA,Seattle Mariners,95.0,95.0
2022,SFN,San Francisco Giants,99.0,99.0
2022,SLN,St. Louis Cardinals,94.0,94.0
2022,TBA,Tampa Bay Rays,95.0,93.0
2022,TEX,Texas Rangers,100.0,101.0
2022,TOR,Toronto Blue Jays,100.0,100.0
2022,WAS,Washington Nationals,94.0,96.0
2023,ARI,Arizona Diamondbacks,99.0,99.0
2023,ATL,Atlanta Braves,103.0,101.0
2023,BAL,Baltimore Orioles,96.0,96.0
2023,BOS,Boston Red Sox,106.0,106.0
2023,CHA,Chicago White Sox,103.0,104.0
2023,CHN,Chicago Cubs,103.0,102.0
2023,CIN,Cincinnati Reds,103.0,104.0
2023,CLE,Cleveland Guardians,97.0,97.0
2023,COL,Colorado Rockies,113.0,115.0
2023,DET,Detroit Tigers,102.0,103.0
2023,HOU,Houston Astros,100.0,98.0
2023,KCA,Kansas City Royals,101.0,103.0
2023,LAA,Los Angeles Angels of Anaheim,104.0,104.0
2023,LAN,Los Angeles Dodgers,102.0,99.0
2023,MIA,Miami Marlins,101.0,102.0
2023,MIL,Milwaukee Brewers,98.0,98.0
2023,MIN,Minnesota Twins,101.0,100.0
2023,NYA,New York Yankees,102.0,101.0
2023,NYN,New York Mets,97.0,96.0
2023,OAK,Oakland Athletics,92.0,95.0
2023,PHI,Philadelphia Phillies,98.0,98.0
2023,PIT,Pittsburgh Pirates,99.0,101.0
2023,SDN,San Diego Padres,94.0,93.0
2023,SEA,Seattle Mariners,95.0,94.0
2023,SFN,San Francisco Giants,96.0,96.0
2023,SLN,St. Louis Cardinals,99.0,99.0
2023,TBA,Tampa Bay Rays,98.0,97.0
2023,TEX,Texas Rangers,104.0,104.0
2023,TOR,Toronto Blue Jays,99.0,99.0
2023,WAS,Washington Nationals,96.0,98.0
2024,ARI,Arizona Diamondbacks,101.0,101.0
2024,ATL,Atlanta Braves,102.0,101.0
2024,BAL,Baltimore Orioles,95.0,94.0
2024,BOS,Boston Red Sox,104.0,104.0
2024,CHA,Chicago White Sox,101.0,103.0
2024,CHN,Chicago Cubs,97.0,96.0
2024,CIN,Cincinnati Reds,107.0,107.0
2024,CLE,Cleveland Guardians,101.0,100.0
2024,COL,Colorado Rockies,110.0,113.0
2024,DET,Detroit Tigers,101.0,100.0
2024,HOU,Houston Astros,101.0,100.0
2024,KCA,Kansas City Royals,102.0,103.0
2024,LAA,Los Angeles Angels of Anaheim,102.0,104.0
2024,LAN,Los Angeles Dodgers,96.0,95.0
2024,MIA,Miami Marlins,104.0,105.0
2024,MIL,Milwaukee Brewers,99.0,98.0
2024,MIN,Minnesota Twins,104.0,104.0
2024,NYA,New York Yankees,102.0,101.0
2024,NYN,New York Mets,94.0,93.0
2024,OAK,Oakland Athletics,96.0,98.0
2024,PHI,Philadelphia Phillies,102.0,102.0
2024,PIT,Pittsburgh Pirates,101.0,102.0
2024,SDN,San Diego Padres,100.0,99.0
2024,SEA,Seattle Mariners,92.0,92.0
2024,SFN,San Francisco Giants,93.0,93.0
2024,SLN,St. Louis Cardinals,100.0,100.0
2024,TBA,Tampa Bay Rays,99.0,99.0
2024,TEX,Texas Rangers,96.0,96.0
2024,TOR,Toronto Blue Jays,103.0,103.0
2024,WAS,Washington Nationals,96.0,98.0
2025,ARI,Arizona Diamondbacks,102.0,102.0
2025,ATH,Athletics,102.0,102.0
2025,ATL,Atlanta Braves,98.0,98.0
2025,BAL,Baltimore Orioles,98.0,98.0
2025,BOS,Boston Red Sox,101.0,100.0
2025,CHA,Chicago White Sox,100.0,102.0
2025,CHN,Chicago Cubs,92.0,91.0
2025,CIN,Cincinnati Reds,108.0,108.0
2025,CLE,Cleveland Guardians,102.0,102.0
2025,COL,Colorado Rockies,112.0,115.0
2025,DET,Detroit Tigers,102.0,101.0
2025,HOU,Houston Astros,102.0,102.0
2025,KCA,Kansas City Royals,100.0,100.0
2025,LAA,Los Angeles Angels of Anaheim,102.0,104.0
2025,LAN,Los Angeles Dodgers,99.0,98.0
2025,MIA,Miami Marlins,102.0,104.0
2025,MIL,Milwaukee Brewers,100.0,98.0
2025,MIN,Minnesota Twins,104.0,104.0
2025,NYA,New York Yankees,100.0,99.0
2025,NYN,New York Mets,96.0,95.0
2025,PHI,Philadelphia Phillies,105.0,104.0
2025,PIT,Pittsburgh Pirates,101.0,101.0
2025,SDN,San Diego Padres,102.0,101.0
2025,SEA,Seattle Mariners,92.0,92.0
2025,SFN,San Francisco Giants,94.0,94.0
2025,SLN,St. Louis Cardinals,97.0,97.0
2025,TBA,Tampa Bay Rays,100.0,100.0
2025,TEX,Texas Rangers,89.0,89.0
2025,TOR,Toronto Blue Jays,104.0,104.0
2025,WAS,Washington Nationals,96.0,97.0
